,Transaction ID,Date,Customer ID,Gender,Age,Product Category,Quantity,Price per Unit,Total Amount,Month,Age Group
63,64,2023-01-24,CUST064,1,49,1,4,25,100,1,"(45, 65]"
64,65,2023-12-05,CUST065,1,51,0,4,500,2000,12,"(45, 65]"
65,66,2023-04-27,CUST066,0,45,0,1,30,30,4,"(35, 45]"
66,67,2023-05-29,CUST067,0,48,2,4,300,1200,5,"(45, 65]"
67,68,2023-02-10,CUST068,1,25,0,1,300,300,2,"(18, 25]"
68,69,2023-04-30,CUST069,0,56,2,3,25,75,4,"(45, 65]"
69,70,2023-02-21,CUST070,0,43,1,1,300,300,2,"(35, 45]"
70,71,2023-07-14,CUST071,0,51,2,4,25,100,7,"(45, 65]"
71,72,2023-05-23,CUST072,0,20,0,4,500,2000,5,"(18, 25]"
72,73,2023-08-21,CUST073,1,29,0,3,30,90,8,"(25, 35]"
73,74,2023-11-22,CUST074,0,18,2,4,500,2000,11,
74,75,2023-07-06,CUST075,1,61,2,4,50,200,7,"(45, 65]"
75,76,2023-03-25,CUST076,0,22,0,2,50,100,3,"(18, 25]"
76,77,2023-07-09,CUST077,0,47,1,2,50,100,7,"(45, 65]"
77,78,2023-07-01,CUST078,0,47,1,3,500,1500,7,"(45, 65]"
78,79,2023-04-18,CUST079,1,34,2,1,300,300,4,"(25, 35]"
79,80,2023-12-10,CUST080,0,64,1,2,30,60,12,"(45, 65]"
80,81,2023-05-17,CUST081,1,40,0,1,50,50,5,"(35, 45]"
81,82,2023-12-26,CUST082,0,32,2,4,50,200,12,"(25, 35]"
82,83,2023-12-16,CUST083,1,54,0,2,50,100,12,"(45, 65]"
83,84,2023-11-28,CUST084,0,38,0,3,30,90,11,"(35, 45]"
84,85,2023-02-06,CUST085,1,31,1,3,50,150,2,"(25, 35]"
85,86,2023-11-08,CUST086,1,19,2,3,30,90,11,"(18, 25]"
86,87,2023-11-22,CUST087,0,28,2,2,50,100,11,"(25, 35]"
87,88,2023-03-29,CUST088,1,56,1,1,500,500,3,"(45, 65]"
88,89,2023-10-01,CUST089,0,55,0,4,500,2000,10,"(45, 65]"
89,90,2023-05-06,CUST090,0,51,0,1,30,30,5,"(45, 65]"
90,91,2023-03-25,CUST091,0,55,0,1,500,500,3,"(45, 65]"
91,92,2023-08-25,CUST092,0,51,0,4,30,120,8,"(45, 65]"
92,93,2023-07-14,CUST093,0,35,2,4,500,2000,7,"(25, 35]"
93,94,2023-05-19,CUST094,0,47,2,2,500,1000,5,"(45, 65]"
94,95,2023-11-24,CUST095,0,32,1,2,30,60,11,"(25, 35]"
95,96,2023-12-19,CUST096,0,44,1,2,300,600,12,"(35, 45]"
96,97,2023-10-13,CUST097,0,51,2,2,500,1000,10,"(45, 65]"
97,98,2023-04-23,CUST098,0,55,2,2,50,100,4,"(45, 65]"
98,99,2023-12-17,CUST099,0,50,0,4,300,1200,12,"(45, 65]"
99,100,2023-06-16,CUST100,1,41,0,1,30,30,6,"(35, 45]"
100,101,2023-01-29,CUST101,1,32,1,2,300,600,1,"(25, 35]"
101,102,2023-04-28,CUST102,0,47,2,2,25,50,4,"(45, 65]"
102,103,2023-01-17,CUST103,0,59,1,1,25,25,1,"(45, 65]"
103,104,2023-06-11,CUST104,0,34,2,2,500,1000,6,"(25, 35]"
104,105,2023-07-25,CUST105,0,22,0,1,500,500,7,"(18, 25]"
105,106,2023-05-18,CUST106,0,46,1,1,50,50,5,"(45, 65]"
106,107,2023-02-03,CUST107,0,21,1,4,300,1200,2,"(18, 25]"
107,108,2023-04-19,CUST108,0,27,2,3,25,75,4,"(25, 35]"
108,109,2023-10-18,CUST109,0,34,0,4,500,2000,10,"(25, 35]"
109,110,2023-06-11,CUST110,1,27,1,3,300,900,6,"(25, 35]"
110,111,2023-04-19,CUST111,0,34,0,3,500,1500,4,"(25, 35]"
111,112,2023-12-02,CUST112,1,37,1,3,500,1500,12,"(35, 45]"
112,113,2023-09-13,CUST113,0,41,0,2,25,50,9,"(35, 45]"
113,114,2023-07-22,CUST114,0,22,2,4,25,100,7,"(18, 25]"
114,115,2023-11-26,CUST115,1,51,1,3,500,1500,11,"(45, 65]"
115,116,2023-08-23,CUST116,0,23,1,1,30,30,8,"(18, 25]"
116,117,2023-03-15,CUST117,1,19,0,2,500,1000,3,"(18, 25]"
117,118,2023-05-16,CUST118,0,30,0,4,500,2000,5,"(25, 35]"
118,119,2023-03-13,CUST119,0,60,1,3,50,150,3,"(45, 65]"
119,120,2023-05-07,CUST120,1,60,2,1,50,50,5,"(45, 65]"
120,121,2023-10-15,CUST121,0,28,0,4,50,200,10,"(25, 35]"
121,122,2023-10-03,CUST122,1,64,0,4,30,120,10,"(45, 65]"
122,123,2023-05-15,CUST123,0,40,0,2,30,60,5,"(35, 45]"
123,124,2023-10-27,CUST124,1,33,1,4,500,2000,10,"(25, 35]"
124,125,2023-08-08,CUST125,1,48,1,2,50,100,8,"(45, 65]"
125,126,2023-10-26,CUST126,0,28,1,3,30,90,10,"(25, 35]"
126,127,2023-07-24,CUST127,0,33,1,2,25,50,7,"(25, 35]"
127,128,2023-07-05,CUST128,1,25,2,1,500,500,7,"(18, 25]"
128,129,2023-04-23,CUST129,0,21,2,2,300,600,4,"(18, 25]"
129,130,2023-03-12,CUST130,0,57,1,1,500,500,3,"(45, 65]"
130,131,2023-09-18,CUST131,0,21,2,2,300,600,9,"(18, 25]"
131,132,2023-09-10,CUST132,1,42,0,4,50,200,9,"(35, 45]"
132,133,2023-02-16,CUST133,1,20,0,3,300,900,2,"(18, 25]"
133,134,2023-01-25,CUST134,1,49,0,1,50,50,1,"(45, 65]"
134,135,2023-02-26,CUST135,1,20,1,2,25,50,2,"(18, 25]"
135,136,2023-03-20,CUST136,1,44,0,2,300,600,3,"(35, 45]"
136,137,2023-11-18,CUST137,1,46,2,2,500,1000,11,"(45, 65]"
137,138,2023-03-23,CUST138,1,49,1,4,50,200,3,"(45, 65]"
138,139,2023-12-15,CUST139,1,36,2,4,500,2000,12,"(35, 45]"
139,140,2023-08-05,CUST140,1,38,0,1,30,30,8,"(35, 45]"
140,141,2023-11-02,CUST141,0,22,0,1,50,50,11,"(18, 25]"
141,142,2023-02-02,CUST142,1,35,0,4,300,1200,2,"(25, 35]"
142,143,2023-07-17,CUST143,0,45,1,1,50,50,7,"(35, 45]"
143,144,2023-07-15,CUST144,0,59,2,3,500,1500,7,"(45, 65]"
144,145,2023-11-02,CUST145,0,39,1,3,25,75,11,"(35, 45]"
145,146,2023-08-28,CUST146,1,38,1,4,50,200,8,"(35, 45]"
146,147,2023-09-28,CUST147,1,23,0,1,300,300,9,"(18, 25]"
147,148,2023-05-09,CUST148,1,18,1,2,30,60,5,
148,149,2023-10-11,CUST149,1,22,1,3,25,75,10,"(18, 25]"
149,150,2023-01-06,CUST150,0,58,0,4,30,120,1,"(45, 65]"
150,151,2023-12-15,CUST151,1,29,1,1,50,50,12,"(25, 35]"
151,152,2023-02-28,CUST152,1,43,0,4,500,2000,2,"(35, 45]"
152,153,2023-12-16,CUST153,1,63,0,2,500,1000,12,"(45, 65]"
153,154,2023-10-02,CUST154,1,51,0,3,300,900,10,"(45, 65]"
154,155,2023-05-17,CUST155,1,31,0,4,500,2000,5,"(25, 35]"
155,156,2023-11-25,CUST156,0,43,1,4,25,100,11,"(35, 45]"
156,157,2023-06-24,CUST157,1,62,0,4,500,2000,6,"(45, 65]"
157,158,2023-02-27,CUST158,0,44,0,2,300,600,2,"(35, 45]"
158,159,2023-05-31,CUST159,1,26,1,4,50,200,5,"(25, 35]"
159,160,2023-08-11,CUST160,0,43,1,2,50,100,8,"(35, 45]"
160,161,2023-03-22,CUST161,1,64,2,2,500,1000,3,"(45, 65]"
161,162,2023-08-21,CUST162,1,39,1,2,30,60,8,"(35, 45]"
162,163,2023-01-02,CUST163,0,64,1,3,50,150,1,"(45, 65]"
163,164,2023-05-15,CUST164,0,47,2,3,500,1500,5,"(45, 65]"
164,165,2023-09-14,CUST165,0,60,1,4,300,1200,9,"(45, 65]"
165,166,2023-04-02,CUST166,1,34,1,4,500,2000,4,"(25, 35]"
166,167,2023-09-17,CUST167,0,43,1,3,50,150,9,"(35, 45]"
167,168,2023-02-24,CUST168,1,53,1,1,300,300,2,"(45, 65]"
168,169,2023-11-17,CUST169,1,18,2,3,500,1500,11,
169,170,2023-06-02,CUST170,0,25,1,2,25,50,6,"(18, 25]"
170,171,2023-11-24,CUST171,0,52,1,3,300,900,11,"(45, 65]"
171,172,2023-09-17,CUST172,1,32,2,2,25,50,9,"(25, 35]"
172,173,2023-11-08,CUST173,1,64,0,4,30,120,11,"(45, 65]"
173,174,2023-04-12,CUST174,0,39,2,1,300,300,4,"(35, 45]"
174,175,2023-03-20,CUST175,0,31,0,4,25,100,3,"(25, 35]"
175,176,2023-07-11,CUST176,0,43,2,2,50,100,7,"(35, 45]"
176,177,2023-03-24,CUST177,1,45,2,2,50,100,3,"(35, 45]"
177,178,2023-10-04,CUST178,1,40,1,2,30,60,10,"(35, 45]"
178,179,2023-09-29,CUST179,1,31,0,1,300,300,9,"(25, 35]"
179,180,2023-01-01,CUST180,1,41,1,3,300,900,1,"(35, 45]"
180,181,2023-11-03,CUST181,1,19,0,4,300,1200,11,"(18, 25]"
181,182,2023-06-15,CUST182,1,62,2,4,30,120,6,"(45, 65]"
182,183,2023-09-08,CUST183,0,43,2,3,300,900,9,"(35, 45]"
183,184,2023-01-10,CUST184,1,31,0,4,50,200,1,"(25, 35]"
184,185,2023-02-27,CUST185,1,24,1,1,25,25,2,"(18, 25]"
185,186,2023-07-05,CUST186,1,20,1,4,50,200,7,"(18, 25]"
186,187,2023-06-07,CUST187,0,64,1,2,50,100,6,"(45, 65]"
187,188,2023-05-03,CUST188,1,40,1,3,25,75,5,"(35, 45]"
188,189,2023-01-30,CUST189,1,63,2,1,50,50,1,"(45, 65]"
189,190,2023-05-04,CUST190,0,60,2,3,30,90,5,"(45, 65]"
190,191,2023-10-18,CUST191,1,64,2,1,25,25,10,"(45, 65]"
191,192,2023-02-10,CUST192,1,62,2,2,50,100,2,"(45, 65]"
192,193,2023-02-13,CUST193,1,35,2,3,500,1500,2,"(25, 35]"
193,194,2023-09-06,CUST194,1,55,1,4,50,200,9,"(45, 65]"
194,195,2023-02-05,CUST195,1,52,1,1,30,30,2,"(45, 65]"
195,196,2023-09-30,CUST196,0,32,1,3,300,900,9,"(25, 35]"
196,197,2023-03-06,CUST197,0,42,1,4,50,200,3,"(35, 45]"
197,198,2023-03-07,CUST198,0,54,2,3,300,900,3,"(45, 65]"
198,199,2023-12-04,CUST199,1,45,2,3,500,1500,12,"(35, 45]"
199,200,2023-09-01,CUST200,1,27,2,3,50,150,9,"(25, 35]"
200,201,2023-10-09,CUST201,1,56,0,1,25,25,10,"(45, 65]"
201,202,2023-03-26,CUST202,0,34,1,4,300,1200,3,"(25, 35]"
202,203,2023-05-16,CUST203,1,56,1,2,500,1000,5,"(45, 65]"
203,204,2023-09-28,CUST204,1,39,2,1,25,25,9,"(35, 45]"
204,205,2023-11-07,CUST205,0,43,1,1,25,25,11,"(35, 45]"
205,206,2023-08-05,CUST206,1,61,1,1,25,25,8,"(45, 65]"
206,207,2023-04-19,CUST207,0,42,2,2,25,50,4,"(35, 45]"
207,208,2023-10-04,CUST208,0,34,0,4,50,200,10,"(25, 35]"
208,209,2023-12-20,CUST209,0,30,0,4,50,200,12,"(25, 35]"
209,210,2023-04-13,CUST210,1,37,0,4,50,200,4,"(35, 45]"
210,211,2024-01-01,CUST211,1,42,2,3,500,1500,1,"(35, 45]"
211,212,2023-06-09,CUST212,1,21,1,3,500,1500,6,"(18, 25]"
212,213,2023-07-24,CUST213,1,27,2,3,500,1500,7,"(25, 35]"
213,214,2023-12-10,CUST214,1,20,2,2,30,60,12,"(18, 25]"
214,215,2023-11-29,CUST215,1,58,1,3,500,1500,11,"(45, 65]"
215,216,2023-07-11,CUST216,1,62,0,2,50,100,7,"(45, 65]"
216,217,2023-08-13,CUST217,0,35,0,4,50,200,8,"(25, 35]"
217,218,2023-09-22,CUST218,1,64,2,3,30,90,9,"(45, 65]"
218,219,2023-08-20,CUST219,0,53,0,3,30,90,8,"(45, 65]"
219,220,2023-03-03,CUST220,1,64,2,1,500,500,3,"(45, 65]"
220,221,2023-05-07,CUST221,1,39,2,2,300,600,5,"(35, 45]"
221,222,2023-04-26,CUST222,1,51,1,4,30,120,4,"(45, 65]"
222,223,2023-02-02,CUST223,0,64,1,1,25,25,2,"(45, 65]"
223,224,2023-06-23,CUST224,0,25,1,1,50,50,6,"(18, 25]"
224,225,2023-01-11,CUST225,0,57,2,4,25,100,1,"(45, 65]"
225,226,2023-10-29,CUST226,0,61,1,1,50,50,10,"(45, 65]"
226,227,2023-10-11,CUST227,1,36,0,2,50,100,10,"(35, 45]"
227,228,2023-04-28,CUST228,0,59,0,2,30,60,4,"(45, 65]"
228,229,2023-10-29,CUST229,1,58,2,3,30,90,10,"(45, 65]"
229,230,2023-04-23,CUST230,1,54,2,1,25,25,4,"(45, 65]"
230,231,2023-01-04,CUST231,0,23,1,3,50,150,1,"(18, 25]"
231,232,2023-02-06,CUST232,0,43,2,1,25,25,2,"(35, 45]"
232,233,2023-12-29,CUST233,0,51,2,2,300,600,12,"(45, 65]"
233,234,2023-11-20,CUST234,0,62,0,2,25,50,11,"(45, 65]"
234,235,2023-01-31,CUST235,0,23,0,2,500,1000,1,"(18, 25]"
235,236,2023-04-28,CUST236,0,54,1,1,25,25,4,"(45, 65]"
236,237,2023-02-04,CUST237,0,50,2,2,500,1000,2,"(45, 65]"
237,238,2023-01-17,CUST238,0,39,2,1,500,500,1,"(35, 45]"
238,239,2023-06-19,CUST239,1,38,0,3,500,1500,6,"(35, 45]"
239,240,2023-02-06,CUST240,0,23,2,1,300,300,2,"(18, 25]"
240,241,2023-09-21,CUST241,0,23,0,3,25,75,9,"(18, 25]"
241,242,2023-05-02,CUST242,1,21,1,1,25,25,5,"(18, 25]"
242,243,2023-05-23,CUST243,0,47,0,3,300,900,5,"(45, 65]"
243,244,2023-12-09,CUST244,1,28,2,2,50,100,12,"(25, 35]"
244,245,2023-09-06,CUST245,1,47,1,3,30,90,9,"(45, 65]"
245,246,2023-04-20,CUST246,0,48,0,2,25,50,4,"(45, 65]"
246,247,2023-10-04,CUST247,1,41,0,2,30,60,10,"(35, 45]"
247,248,2023-03-09,CUST248,1,26,1,3,300,900,3,"(25, 35]"
248,249,2023-10-20,CUST249,1,20,1,1,50,50,10,"(18, 25]"
249,250,2023-10-23,CUST250,1,48,0,1,50,50,10,"(45, 65]"
250,251,2023-08-31,CUST251,0,57,2,4,50,200,8,"(45, 65]"
251,252,2023-05-05,CUST252,1,54,0,1,300,300,5,"(45, 65]"
252,253,2023-08-31,CUST253,0,53,1,4,500,2000,8,"(45, 65]"
253,254,2023-07-28,CUST254,1,41,0,1,500,500,7,"(35, 45]"
254,255,2023-04-08,CUST255,1,48,1,1,30,30,4,"(45, 65]"
255,256,2023-02-18,CUST256,1,23,1,2,500,1000,2,"(18, 25]"
256,257,2023-02-19,CUST257,1,19,2,4,500,2000,2,"(18, 25]"
257,258,2023-12-04,CUST258,0,37,1,1,50,50,12,"(35, 45]"
258,259,2023-08-09,CUST259,0,45,1,4,50,200,8,"(35, 45]"
259,260,2023-07-01,CUST260,1,28,2,2,30,60,7,"(25, 35]"
260,261,2023-08-05,CUST261,1,21,1,2,25,50,8,"(18, 25]"
261,262,2023-07-30,CUST262,0,32,2,4,30,120,7,"(25, 35]"
262,263,2023-08-28,CUST263,1,23,2,2,30,60,8,"(18, 25]"
263,264,2023-01-28,CUST264,1,47,1,3,300,900,1,"(45, 65]"
264,265,2023-12-11,CUST265,1,55,1,3,300,900,12,"(45, 65]"
265,266,2023-12-01,CUST266,0,19,0,2,30,60,12,"(18, 25]"
266,267,2023-11-27,CUST267,0,32,2,3,30,90,11,"(25, 35]"
267,268,2023-02-20,CUST268,0,28,0,1,30,30,2,"(25, 35]"
268,269,2023-02-01,CUST269,1,25,1,4,500,2000,2,"(18, 25]"
269,270,2023-07-26,CUST270,1,43,0,1,300,300,7,"(35, 45]"
270,271,2023-06-23,CUST271,0,62,2,4,30,120,6,"(45, 65]"
271,272,2023-02-25,CUST272,0,61,0,2,50,100,2,"(45, 65]"
272,273,2023-05-08,CUST273,0,22,2,1,50,50,5,"(18, 25]"
273,274,2023-04-09,CUST274,0,23,1,2,500,1000,4,"(18, 25]"
274,275,2023-04-08,CUST275,1,43,1,2,500,1000,4,"(35, 45]"
275,276,2023-10-02,CUST276,0,21,2,4,25,100,10,"(18, 25]"
276,277,2023-08-18,CUST277,1,36,1,4,25,100,8,"(35, 45]"
277,278,2023-03-13,CUST278,0,37,1,4,25,100,3,"(35, 45]"
278,279,2023-08-05,CUST279,1,50,1,1,500,500,8,"(45, 65]"
279,280,2023-04-04,CUST280,0,37,1,3,500,1500,4,"(35, 45]"
280,281,2023-05-23,CUST281,0,29,2,4,500,2000,5,"(25, 35]"
281,282,2023-08-25,CUST282,0,64,0,4,50,200,8,"(45, 65]"
282,283,2023-05-08,CUST283,0,18,0,1,500,500,5,
283,284,2023-02-08,CUST284,1,43,1,4,50,200,2,"(35, 45]"
284,285,2023-08-15,CUST285,0,31,0,1,25,25,8,"(25, 35]"
285,286,2023-10-09,CUST286,1,55,0,2,25,50,10,"(45, 65]"
286,287,2023-02-20,CUST287,1,54,1,4,25,100,2,"(45, 65]"
287,288,2023-01-26,CUST288,1,28,1,4,30,120,1,"(25, 35]"
288,289,2023-11-30,CUST289,1,53,0,2,30,60,11,"(45, 65]"
289,290,2023-10-04,CUST290,0,30,2,2,300,600,10,"(25, 35]"
290,291,2023-01-08,CUST291,1,60,1,2,300,600,1,"(45, 65]"
291,292,2023-02-17,CUST292,1,20,2,4,300,1200,2,"(18, 25]"
292,293,2023-05-02,CUST293,1,50,0,3,30,90,5,"(45, 65]"
293,294,2023-03-27,CUST294,0,23,1,3,30,90,3,"(18, 25]"
294,295,2023-07-28,CUST295,0,27,2,3,300,900,7,"(25, 35]"
295,296,2023-09-06,CUST296,0,22,1,4,300,1200,9,"(18, 25]"
296,297,2023-09-04,CUST297,0,40,0,2,500,1000,9,"(35, 45]"
297,298,2023-04-20,CUST298,1,27,2,4,300,1200,4,"(25, 35]"
298,299,2023-07-25,CUST299,1,61,0,2,500,1000,7,"(45, 65]"
299,300,2023-01-31,CUST300,0,19,0,4,50,200,1,"(18, 25]"
300,301,2023-03-26,CUST301,1,30,1,4,30,120,3,"(25, 35]"
301,302,2023-07-14,CUST302,1,57,2,2,300,600,7,"(45, 65]"
302,303,2023-01-02,CUST303,1,19,0,3,30,90,1,"(18, 25]"
303,304,2023-07-19,CUST304,0,37,0,2,30,60,7,"(35, 45]"
304,305,2023-05-16,CUST305,0,18,2,1,30,30,5,
305,306,2023-08-21,CUST306,1,54,0,1,50,50,8,"(45, 65]"
306,307,2023-05-27,CUST307,0,26,0,2,25,50,5,"(25, 35]"
307,308,2023-08-05,CUST308,0,34,2,4,300,1200,8,"(25, 35]"
308,309,2023-12-23,CUST309,0,26,2,1,25,25,12,"(25, 35]"
309,310,2023-10-12,CUST310,0,28,2,1,25,25,10,"(25, 35]"
310,311,2023-12-05,CUST311,0,32,2,4,25,100,12,"(25, 35]"
311,312,2023-09-07,CUST312,1,41,1,4,30,120,9,"(35, 45]"
312,313,2023-03-21,CUST313,0,55,2,3,500,1500,3,"(45, 65]"
313,314,2023-04-08,CUST314,1,52,1,4,30,120,4,"(45, 65]"
314,315,2023-06-01,CUST315,1,47,1,2,30,60,6,"(45, 65]"
315,316,2023-04-22,CUST316,0,48,1,2,25,50,4,"(45, 65]"
316,317,2023-01-30,CUST317,1,22,0,3,30,90,1,"(18, 25]"
317,318,2023-10-24,CUST318,1,61,1,1,25,25,10,"(45, 65]"
318,319,2023-10-05,CUST319,1,31,1,1,500,500,10,"(25, 35]"
319,320,2023-02-01,CUST320,0,28,0,4,300,1200,2,"(25, 35]"
320,321,2023-06-10,CUST321,0,26,0,2,25,50,6,"(25, 35]"
321,322,2023-01-30,CUST322,1,51,0,1,500,500,1,"(45, 65]"
322,323,2023-01-26,CUST323,0,29,2,3,300,900,1,"(25, 35]"
323,324,2023-10-27,CUST324,0,52,0,3,50,150,10,"(45, 65]"
324,325,2023-09-02,CUST325,0,52,0,2,25,50,9,"(45, 65]"
325,326,2023-09-15,CUST326,0,18,1,3,25,75,9,
326,327,2023-09-29,CUST327,1,57,0,3,50,150,9,"(45, 65]"
327,328,2023-03-22,CUST328,1,39,2,2,50,100,3,"(35, 45]"
328,329,2023-01-30,CUST329,0,46,0,4,25,100,1,"(45, 65]"
329,330,2023-09-18,CUST330,0,25,2,4,50,200,9,"(18, 25]"
330,331,2023-02-11,CUST331,1,28,0,3,30,90,2,"(25, 35]"
331,332,2023-04-06,CUST332,1,58,0,4,300,1200,4,"(45, 65]"
332,333,2023-02-05,CUST333,0,54,0,4,300,1200,2,"(45, 65]"
333,334,2023-11-01,CUST334,1,31,0,3,300,900,11,"(25, 35]"
334,335,2023-02-04,CUST335,0,47,2,4,30,120,2,"(45, 65]"
335,336,2023-12-12,CUST336,0,52,2,3,50,150,12,"(45, 65]"
336,337,2023-05-01,CUST337,1,38,1,1,500,500,5,"(35, 45]"
337,338,2023-07-26,CUST338,1,54,2,2,50,100,7,"(45, 65]"
338,339,2023-03-03,CUST339,0,22,0,2,25,50,3,"(18, 25]"
339,340,2023-10-19,CUST340,0,36,1,4,300,1200,10,"(35, 45]"
340,341,2023-05-07,CUST341,1,31,1,4,50,200,5,"(25, 35]"
341,342,2023-10-24,CUST342,0,43,1,4,500,2000,10,"(35, 45]"
342,343,2023-11-01,CUST343,1,21,0,2,25,50,11,"(18, 25]"
343,344,2023-01-21,CUST344,0,42,2,1,30,30,1,"(35, 45]"
344,345,2023-11-14,CUST345,1,62,0,1,30,30,11,"(45, 65]"
345,346,2023-02-11,CUST346,1,59,1,2,500,1000,2,"(45, 65]"
346,347,2023-08-03,CUST347,1,42,0,1,25,25,8,"(35, 45]"
347,348,2023-12-03,CUST348,0,35,0,2,300,600,12,"(25, 35]"
348,349,2023-10-26,CUST349,0,57,2,1,50,50,10,"(45, 65]"
349,350,2023-10-17,CUST350,1,25,2,3,25,75,10,"(18, 25]"
350,351,2023-09-25,CUST351,0,56,1,3,30,90,9,"(45, 65]"
351,352,2023-06-11,CUST352,1,57,0,2,500,1000,6,"(45, 65]"
352,353,2023-05-14,CUST353,1,31,0,1,500,500,5,"(25, 35]"
353,354,2023-04-15,CUST354,0,49,2,4,50,200,4,"(45, 65]"
354,355,2023-12-09,CUST355,0,55,0,1,500,500,12,"(45, 65]"
355,356,2023-06-10,CUST356,1,50,0,3,500,1500,6,"(45, 65]"
